Call Date and Time,Language Requested,Wait Time (sec)
6/1/2023 0:09,SPANISH,0
6/1/2023 0:30,SPANISH,4
6/1/2023 0:30,SPANISH,1
6/1/2023 0:50,MANDARIN,2
6/1/2023 1:12,SPANISH,1
6/1/2023 2:23,SPANISH,2
6/1/2023 2:28,SPANISH,1
6/1/2023 2:30,SPANISH,2
6/1/2023 2:39,SPANISH,2
6/1/2023 2:40,SPANISH,2
6/1/2023 2:55,SPANISH,2
6/1/2023 2:56,RUSSIAN,1
6/1/2023 3:03,SPANISH,2
6/1/2023 3:08,SPANISH,1
6/1/2023 3:13,SPANISH,2
6/1/2023 3:24,SPANISH,1
6/1/2023 3:29,SPANISH,1
6/1/2023 3:37,SPANISH,1
6/1/2023 3:43,SPANISH,4
6/1/2023 3:45,SPANISH,1
6/1/2023 3:50,SPANISH,1
6/1/2023 3:51,MANDARIN,24
6/1/2023 3:57,SPANISH,2
6/1/2023 4:04,SPANISH,1
6/1/2023 4:16,RUSSIAN,2
6/1/2023 4:20,SPANISH,1
6/1/2023 4:21,SPANISH,1
6/1/2023 4:22,RUSSIAN,2
6/1/2023 4:25,RUSSIAN,1
6/1/2023 4:26,SPANISH,1
6/1/2023 4:29,SPANISH,1
6/1/2023 4:31,SPANISH,1
6/1/2023 4:32,SPANISH,2
6/1/2023 4:32,SPANISH,2
6/1/2023 4:32,RUSSIAN,2
6/1/2023 4:34,SPANISH,2
6/1/2023 4:36,SPANISH,1
6/1/2023 4:42,SPANISH,1
6/1/2023 4:46,SPANISH,2
6/1/2023 4:47,SPANISH,1
6/1/2023 4:49,POLISH,2
6/1/2023 4:49,SPANISH,2
6/1/2023 4:55,SPANISH,2
6/1/2023 4:57,SPANISH,1
6/1/2023 4:59,SPANISH,1
6/1/2023 5:01,SPANISH,0
6/1/2023 5:01,SPANISH,2
6/1/2023 5:04,SPANISH,1
6/1/2023 5:04,RUSSIAN,1
6/1/2023 5:06,SPANISH,3
6/1/2023 5:07,SPANISH,1
6/1/2023 5:08,SPANISH,1
6/1/2023 5:08,SPANISH,2
6/1/2023 5:08,SPANISH,2
6/1/2023 5:09,SPANISH,2
6/1/2023 5:10,SPANISH,1
6/1/2023 5:11,SPANISH,2
6/1/2023 5:13,SPANISH,1
6/1/2023 5:14,SPANISH,1
6/1/2023 5:15,SPANISH,1
6/1/2023 5:16,SPANISH,2
6/1/2023 5:17,SPANISH,1
6/1/2023 5:17,SPANISH,1
6/1/2023 5:17,SPANISH,1
6/1/2023 5:20,SPANISH,2
6/1/2023 5:20,SPANISH,2
6/1/2023 5:22,SPANISH,2
6/1/2023 5:22,SPANISH,1
6/1/2023 5:22,RUSSIAN,2
6/1/2023 5:24,SPANISH,2
6/1/2023 5:25,SPANISH,2
6/1/2023 5:25,RUSSIAN,2
6/1/2023 5:25,SPANISH,1
6/1/2023 5:27,SPANISH,1
6/1/2023 5:30,SPANISH,1
6/1/2023 5:31,RUSSIAN,1
6/1/2023 5:32,SPANISH,2
6/1/2023 5:32,MANDARIN,4
6/1/2023 5:33,SPANISH,1
6/1/2023 5:34,SPANISH,1
6/1/2023 5:35,SPANISH,2
6/1/2023 5:36,SPANISH,3
6/1/2023 5:36,HAITIAN CREOLE,7
6/1/2023 5:37,SPANISH,2
6/1/2023 5:37,SPANISH,2
6/1/2023 5:38,SPANISH,2
6/1/2023 5:42,SPANISH,2
6/1/2023 5:42,SPANISH,4
6/1/2023 5:42,SPANISH,2
6/1/2023 5:44,MANDARIN,4
6/1/2023 5:45,POLISH,1
6/1/2023 5:46,SPANISH,2
6/1/2023 5:49,SPANISH,4
6/1/2023 5:50,SPANISH,3
6/1/2023 5:51,SPANISH,3
6/1/2023 5:54,SPANISH,10
6/1/2023 5:58,SPANISH,1
6/1/2023 5:59,SPANISH,2
6/1/2023 6:00,SPANISH,1
6/1/2023 6:00,SPANISH,1
6/1/2023 6:00,CANTONESE,4
6/1/2023 6:01,SPANISH,1
6/1/2023 6:01,SPANISH,1
6/1/2023 6:01,SPANISH,1
6/1/2023 6:01,SPANISH,2
6/1/2023 6:01,SPANISH,2
6/1/2023 6:01,SPANISH,1
6/1/2023 6:02,SPANISH,2
6/1/2023 6:02,HAITIAN CREOLE,2
6/1/2023 6:02,SPANISH,1
6/1/2023 6:02,PORTUGUESE,2
6/1/2023 6:02,SPANISH,2
6/1/2023 6:03,TURKISH,2
6/1/2023 6:03,SPANISH,1
6/1/2023 6:04,SPANISH,2
6/1/2023 6:05,SPANISH,2
6/1/2023 6:05,SPANISH,2
6/1/2023 6:06,SPANISH,1
6/1/2023 6:06,SPANISH,3
6/1/2023 6:07,SPANISH,1
6/1/2023 6:07,SPANISH,2
6/1/2023 6:07,SPANISH,2
6/1/2023 6:08,HAITIAN CREOLE,1
6/1/2023 6:10,HAITIAN CREOLE,4
6/1/2023 6:10,SPANISH,2
6/1/2023 6:11,SPANISH,2
6/1/2023 6:11,SPANISH,2
6/1/2023 6:11,SPANISH,2
6/1/2023 6:11,SPANISH,5
6/1/2023 6:11,MANDARIN,2
6/1/2023 6:12,SPANISH,4
6/1/2023 6:12,SPANISH,2
6/1/2023 6:14,SPANISH,2
6/1/2023 6:15,SPANISH,2
6/1/2023 6:15,SPANISH,2
6/1/2023 6:16,SPANISH,2
6/1/2023 6:16,CANTONESE,3
6/1/2023 6:17,MANDARIN,4
6/1/2023 6:17,SPANISH,2
6/1/2023 6:18,SPANISH,1
6/1/2023 6:18,MANDARIN,4
6/1/2023 6:18,RUSSIAN,2
6/1/2023 6:19,SPANISH,2
6/1/2023 6:20,SPANISH,2
6/1/2023 6:21,SPANISH,1
6/1/2023 6:21,RUSSIAN,2
6/1/2023 6:21,SPANISH,2
6/1/2023 6:21,RUSSIAN,2
6/1/2023 6:22,SPANISH,2
6/1/2023 6:22,SPANISH,2
6/1/2023 6:23,SPANISH,2
6/1/2023 6:23,HAITIAN CREOLE,7
6/1/2023 6:24,SPANISH,2
6/1/2023 6:24,SPANISH,2
6/1/2023 6:24,MANDARIN,3
6/1/2023 6:24,FRENCH,0
6/1/2023 6:24,SPANISH,1
6/1/2023 6:24,SPANISH,2
6/1/2023 6:25,SPANISH,2
6/1/2023 6:26,SPANISH,2
6/1/2023 6:26,SPANISH,1
6/1/2023 6:27,SPANISH,2
6/1/2023 6:27,SPANISH,2
6/1/2023 6:28,RUSSIAN,2
6/1/2023 6:29,SPANISH,2
6/1/2023 6:29,SPANISH,2
6/1/2023 6:29,FRENCH,3
6/1/2023 6:32,SPANISH,1
6/1/2023 6:33,SPANISH,1
6/1/2023 6:34,SPANISH,1
6/1/2023 6:34,SPANISH,2
6/1/2023 6:35,SPANISH,2
6/1/2023 6:36,SPANISH,2
6/1/2023 6:36,SPANISH,1
6/1/2023 6:36,SPANISH,3
6/1/2023 6:36,SPANISH,2
6/1/2023 6:36,SPANISH,15
6/1/2023 6:37,SPANISH,5
6/1/2023 6:37,SPANISH,2
6/1/2023 6:37,SPANISH,2
6/1/2023 6:38,SPANISH,2
6/1/2023 6:39,SPANISH,3
6/1/2023 6:39,SPANISH,2
6/1/2023 6:41,MANDARIN,2
6/1/2023 6:42,MANDARIN,3
6/1/2023 6:43,SPANISH,3
6/1/2023 6:43,SPANISH,2
6/1/2023 6:44,SPANISH,3
6/1/2023 6:45,SPANISH,3
6/1/2023 6:45,SPANISH,1
6/1/2023 6:46,SPANISH,2
6/1/2023 6:49,SPANISH,3
6/1/2023 6:49,SPANISH,3
6/1/2023 6:50,HAITIAN CREOLE,39
6/1/2023 6:50,SPANISH,2
6/1/2023 6:50,SPANISH,2
6/1/2023 6:51,RUSSIAN,11
6/1/2023 6:51,RUSSIAN,2
6/1/2023 6:52,SPANISH,1
6/1/2023 6:52,SPANISH,1
6/1/2023 6:53,MANDARIN,99
6/1/2023 6:53,SPANISH,2
6/1/2023 6:54,SPANISH,2
6/1/2023 6:55,SPANISH,2
6/1/2023 6:55,KOREAN,32
6/1/2023 6:55,SPANISH,2
6/1/2023 6:55,SPANISH,1
6/1/2023 6:56,SPANISH,2
6/1/2023 6:56,SPANISH,4
6/1/2023 6:56,MANDARIN,47
6/1/2023 6:58,RUSSIAN,2
6/1/2023 6:58,RUSSIAN,1
6/1/2023 6:58,MANDARIN,1
